nr,name,height_cm,weight_kg,primary,secondary,stage
1,bulbasaur,69.92095,6.8823166,grass,poison,1
1,bulbasaur,70.033295,6.805276,grass,poison,1
1,bulbasaur,69.91039,6.826815,grass,poison,1
1,bulbasaur,70.2216,6.8863783,grass,poison,1
1,bulbasaur,69.96896,6.9319267,grass,poison,1
1,bulbasaur,69.97742,6.8263454,grass,poison,1
1,bulbasaur,69.99745,6.8847857,grass,poison,1
1,bulbasaur,70.12,6.8709517,grass,poison,1
1,bulbasaur,69.917564,6.947066,grass,poison,1
1,bulbasaur,69.928085,6.943093,grass,poison,1
1,bulbasaur,70.12692,6.8775625,grass,poison,1
1,bulbasaur,70.038475,7.0392976,grass,poison,1
1,bulbasaur,70.14122,6.8368354,grass,poison,1
1,bulbasaur,69.9277,6.8703847,grass,poison,1
1,bulbasaur,70.041565,6.8045397,grass,poison,1
1,bulbasaur,70.04723,7.1498446,grass,poison,1
1,bulbasaur,69.95082,6.93397,grass,poison,1
1,bulbasaur,70.14111,6.8371286,grass,poison,1
1,bulbasaur,69.9133,6.9507933,grass,poison,1
1,bulbasaur,69.92709,6.8169174,grass,poison,1
1,bulbasaur,70.05712,6.81906,grass,poison,1
1,bulbasaur,69.94331,6.8169165,grass,poison,1
1,bulbasaur,69.962074,7.0026503,grass,poison,1
1,bulbasaur,70.03639,6.82841,grass,poison,1
1,bulbasaur,69.9672,6.889238,grass,poison,1
1,bulbasaur,69.92767,6.8658485,grass,poison,1
1,bulbasaur,70.068146,6.8779163,grass,poison,1
1,bulbasaur,69.93845,6.8849463,grass,poison,1
1,bulbasaur,70.13351,6.816258,grass,poison,1
1,bulbasaur,70.027374,6.8014536,grass,poison,1
1,bulbasaur,69.97101,6.972985,grass,poison,1
1,bulbasaur,70.212265,6.8127174,grass,poison,1
1,bulbasaur,70.010345,6.8603263,grass,poison,1
1,bulbasaur,69.91429,6.87659,grass,poison,1
1,bulbasaur,69.91606,6.8949656,grass,poison,1
1,bulbasaur,69.98218,6.824929,grass,poison,1
1,bulbasaur,70.0701,6.878254,grass,poison,1
1,bulbasaur,70.01018,6.864903,grass,poison,1
1,bulbasaur,69.99352,7.010892,grass,poison,1
1,bulbasaur,69.96813,6.932411,grass,poison,1
1,bulbasaur,70.066895,6.818236,grass,poison,1
1,bulbasaur,69.963646,6.8036222,grass,poison,1
1,bulbasaur,69.92569,6.8724365,grass,poison,1
1,bulbasaur,70.10127,6.8295307,grass,poison,1
1,bulbasaur,69.98858,6.987784,grass,poison,1
1,bulbasaur,69.93827,6.829597,grass,poison,1
1,bulbasaur,69.96223,6.822414,grass,poison,1
1,bulbasaur,69.91721,6.839535,grass,poison,1
1,bulbasaur,69.936386,6.80507,grass,poison,1
1,bulbasaur,70.00469,6.804413,grass,poison,1
1,bulbasaur,70.0666,6.812432,grass,poison,1
1,bulbasaur,70.04314,6.865042,grass,poison,1
1,bulbasaur,70.17236,6.8467927,grass,poison,1
1,bulbasaur,70.106094,6.815287,grass,poison,1
1,bulbasaur,69.98026,6.829523,grass,poison,1
1,bulbasaur,69.95075,6.8655047,grass,poison,1
1,bulbasaur,69.916824,6.874689,grass,poison,1
1,bulbasaur,69.97009,6.8024774,grass,poison,1
1,bulbasaur,69.967354,6.8135085,grass,poison,1
1,bulbasaur,70.205864,6.9778843,grass,poison,1
1,bulbasaur,69.981285,6.849708,grass,poison,1
1,bulbasaur,69.963524,6.858547,grass,poison,1
1,bulbasaur,69.92956,6.8769445,grass,poison,1
1,bulbasaur,69.918175,6.8497443,grass,poison,1
1,bulbasaur,70.003876,6.997371,grass,poison,1
1,bulbasaur,70.00123,6.995886,grass,poison,1
1,bulbasaur,69.98595,6.841602,grass,poison,1
1,bulbasaur,69.96014,6.9254494,grass,poison,1
1,bulbasaur,70.020645,6.8367486,grass,poison,1
1,bulbasaur,69.92617,6.8395452,grass,poison,1
1,bulbasaur,69.95503,6.8863473,grass,poison,1
1,bulbasaur,70.24485,6.833145,grass,poison,1
1,bulbasaur,69.95939,6.9670444,grass,poison,1
1,bulbasaur,69.93235,6.803633,grass,poison,1
1,bulbasaur,69.930405,6.9041615,grass,poison,1
1,bulbasaur,69.96666,6.8806696,grass,poison,1
1,bulbasaur,69.993614,6.8719616,grass,poison,1
1,bulbasaur,69.924706,6.924977,grass,poison,1
1,bulbasaur,69.989426,6.811794,grass,poison,1
1,bulbasaur,70.1104,6.8065257,grass,poison,1
1,bulbasaur,70.00262,7.0086613,grass,poison,1
1,bulbasaur,69.91873,6.831447,grass,poison,1
1,bulbasaur,69.95961,6.884464,grass,poison,1
1,bulbasaur,69.96986,6.8710546,grass,poison,1
1,bulbasaur,69.951385,6.8046465,grass,poison,1
1,bulbasaur,70.355156,6.875248,grass,poison,1
1,bulbasaur,70.006775,6.9082675,grass,poison,1
1,bulbasaur,70.18113,6.808622,grass,poison,1
1,bulbasaur,69.97521,6.992274,grass,poison,1
1,bulbasaur,69.96071,7.3591046,grass,poison,1
1,bulbasaur,70.12644,6.919589,grass,poison,1
1,bulbasaur,69.925705,6.875425,grass,poison,1
1,bulbasaur,69.92633,6.8164525,grass,poison,1
1,bulbasaur,69.93008,6.8121696,grass,poison,1
1,bulbasaur,70.03918,6.8468904,grass,poison,1
1,bulbasaur,69.917496,6.8020062,grass,poison,1
1,bulbasaur,70.2101,6.9005713,grass,poison,1
1,bulbasaur,69.98522,6.9938674,grass,poison,1
1,bulbasaur,69.94293,6.8033195,grass,poison,1
1,bulbasaur,69.952286,6.9333553,grass,poison,1
1,bulbasaur,70.02111,6.935066,grass,poison,1
1,bulbasaur,69.91162,6.9071245,grass,poison,1
1,bulbasaur,69.98616,7.168968,grass,poison,1
1,bulbasaur,69.94705,6.8179684,grass,poison,1
1,bulbasaur,69.929245,6.832871,grass,poison,1
1,bulbasaur,69.915,6.858083,grass,poison,1
1,bulbasaur,70.03053,7.124469,grass,poison,1
1,bulbasaur,69.92562,6.827382,grass,poison,1
1,bulbasaur,69.99226,7.0459404,grass,poison,1
1,bulbasaur,69.964966,7.026741,grass,poison,1
1,bulbasaur,69.91143,6.808634,grass,poison,1
1,bulbasaur,69.922325,7.0162735,grass,poison,1
1,bulbasaur,69.91845,7.054804,grass,poison,1
1,bulbasaur,69.92666,6.8276095,grass,poison,1
1,bulbasaur,70.10897,6.9893417,grass,poison,1
1,bulbasaur,69.93649,6.814853,grass,poison,1
2,ivysaur,100.02968,13.012276,grass,poison,2
2,ivysaur,99.91408,13.045646,grass,poison,2
2,ivysaur,100.08834,12.93203,grass,poison,2
2,ivysaur,99.960884,13.371949,grass,poison,2
2,ivysaur,100.035126,12.960932,grass,poison,2
2,ivysaur,99.917915,12.984306,grass,poison,2
2,ivysaur,100.05682,12.963897,grass,poison,2
2,ivysaur,99.98518,13.0329,grass,poison,2
2,ivysaur,99.95273,13.082231,grass,poison,2
2,ivysaur,100.03389,13.108817,grass,poison,2
2,ivysaur,99.94803,12.915282,grass,poison,2
2,ivysaur,100.086136,12.913277,grass,poison,2
2,ivysaur,99.97312,12.946387,grass,poison,2
2,ivysaur,100.07561,12.987991,grass,poison,2
2,ivysaur,100.007744,12.943957,grass,poison,2
2,ivysaur,100.01214,12.961917,grass,poison,2
2,ivysaur,99.93459,12.9180355,grass,poison,2
2,ivysaur,99.9305,12.961522,grass,poison,2
2,ivysaur,99.920296,12.914853,grass,poison,2
2,ivysaur,100.03889,12.983403,grass,poison,2
2,ivysaur,100.04281,12.948493,grass,poison,2
2,ivysaur,100.04315,13.197148,grass,poison,2
2,ivysaur,100.00485,12.92258,grass,poison,2
2,ivysaur,99.97776,12.924119,grass,poison,2
2,ivysaur,100.15757,13.016604,grass,poison,2
2,ivysaur,99.95531,13.398555,grass,poison,2
2,ivysaur,100.04732,13.019077,grass,poison,2
2,ivysaur,99.93471,13.022662,grass,poison,2
2,ivysaur,100.05705,13.084126,grass,poison,2
2,ivysaur,100.07942,13.002579,grass,poison,2
2,ivysaur,99.96231,12.932419,grass,poison,2
2,ivysaur,100.033104,13.014743,grass,poison,2
2,ivysaur,100.302185,12.9587555,grass,poison,2
2,ivysaur,99.96909,13.050902,grass,poison,2
2,ivysaur,99.92371,13.066297,grass,poison,2
2,ivysaur,99.92756,13.01897,grass,poison,2
2,ivysaur,99.9392,13.206393,grass,poison,2
2,ivysaur,100.027336,12.932154,grass,poison,2
2,ivysaur,100.029625,12.9199505,grass,poison,2
2,ivysaur,99.95081,12.93732,grass,poison,2
2,ivysaur,99.92756,12.944471,grass,poison,2
2,ivysaur,99.93356,13.013165,grass,poison,2
2,ivysaur,100.02048,12.921813,grass,poison,2
2,ivysaur,99.94594,12.968117,grass,poison,2
2,ivysaur,100.01636,12.956084,grass,poison,2
2,ivysaur,100.05829,12.934212,grass,poison,2
2,ivysaur,100.37647,12.979868,grass,poison,2
2,ivysaur,100.004875,13.045549,grass,poison,2
2,ivysaur,99.952225,13.00541,grass,poison,2
2,ivysaur,99.917984,12.939521,grass,poison,2
2,ivysaur,99.975105,12.973547,grass,poison,2
2,ivysaur,99.974976,12.96784,grass,poison,2
2,ivysaur,99.95724,13.109461,grass,poison,2
2,ivysaur,100.14703,13.095508,grass,poison,2
2,ivysaur,99.98045,12.936897,grass,poison,2
2,ivysaur,100.14048,12.95412,grass,poison,2
2,ivysaur,99.95029,12.978145,grass,poison,2
2,ivysaur,99.91405,13.340714,grass,poison,2
2,ivysaur,99.99213,12.993875,grass,poison,2
2,ivysaur,99.97395,13.061597,grass,poison,2
2,ivysaur,100.05559,12.98091,grass,poison,2
2,ivysaur,99.94974,13.008332,grass,poison,2
2,ivysaur,100.27776,12.933697,grass,poison,2
2,ivysaur,100.078026,13.086477,grass,poison,2
2,ivysaur,99.98232,13.054473,grass,poison,2
2,ivysaur,99.93972,12.9270735,grass,poison,2
2,ivysaur,99.93735,13.106309,grass,poison,2
2,ivysaur,99.9889,12.909173,grass,poison,2
2,ivysaur,99.931175,12.941116,grass,poison,2
2,ivysaur,100.16824,13.162967,grass,poison,2
2,ivysaur,99.961,12.909513,grass,poison,2
2,ivysaur,100.00983,13.107271,grass,poison,2
2,ivysaur,99.93534,12.975221,grass,poison,2
2,ivysaur,100.03586,13.045059,grass,poison,2
2,ivysaur,100.02188,13.2785635,grass,poison,2
2,ivysaur,99.958725,12.953866,grass,poison,2
2,ivysaur,99.93036,12.945501,grass,poison,2
2,ivysaur,99.97806,12.926736,grass,poison,2
2,ivysaur,99.92045,12.957321,grass,poison,2
2,ivysaur,100.02045,13.080486,grass,poison,2
2,ivysaur,99.9328,12.918014,grass,poison,2
2,ivysaur,100.0236,12.906733,grass,poison,2
2,ivysaur,99.9826,12.91043,grass,poison,2
2,ivysaur,99.964226,13.079907,grass,poison,2
2,ivysaur,99.99653,13.009639,grass,poison,2
2,ivysaur,100.11974,12.936207,grass,poison,2
2,ivysaur,100.17558,13.048139,grass,poison,2
2,ivysaur,99.913284,12.961262,grass,poison,2
2,ivysaur,99.96137,12.965323,grass,poison,2
2,ivysaur,99.98429,12.948838,grass,poison,2
2,ivysaur,99.94511,13.107996,grass,poison,2
2,ivysaur,99.94466,12.968028,grass,poison,2
2,ivysaur,99.95017,12.976133,grass,poison,2
2,ivysaur,100.06185,12.956926,grass,poison,2
2,ivysaur,99.999146,13.076723,grass,poison,2
2,ivysaur,99.92346,12.922058,grass,poison,2
2,ivysaur,100.062935,12.91628,grass,poison,2
2,ivysaur,99.91568,12.976588,grass,poison,2
2,ivysaur,99.92151,12.957364,grass,poison,2
2,ivysaur,99.92783,12.962095,grass,poison,2
2,ivysaur,100.17435,13.02053,grass,poison,2
2,ivysaur,100.16406,12.917895,grass,poison,2
2,ivysaur,100.02054,13.043467,grass,poison,2
2,ivysaur,99.94344,13.180557,grass,poison,2
2,ivysaur,100.13218,12.962695,grass,poison,2
2,ivysaur,99.91909,12.978656,grass,poison,2
2,ivysaur,99.94847,12.932399,grass,poison,2
2,ivysaur,100.131355,12.991155,grass,poison,2
2,ivysaur,99.95011,12.910468,grass,poison,2
2,ivysaur,99.93249,12.907154,grass,poison,2
2,ivysaur,99.94517,13.060112,grass,poison,2
2,ivysaur,99.98629,12.95049,grass,poison,2
2,ivysaur,99.967125,12.943173,grass,poison,2
2,ivysaur,99.933334,13.001979,grass,poison,2
2,ivysaur,99.97466,12.911228,grass,poison,2
2,ivysaur,100.04196,13.024414,grass,poison,2
2,ivysaur,100.195206,12.9463215,grass,poison,2
2,ivysaur,99.975784,12.939265,grass,poison,2
2,ivysaur,99.91398,12.918304,grass,poison,2
2,ivysaur,99.95863,12.925754,grass,poison,2
2,ivysaur,100.00817,12.970964,grass,poison,2
2,ivysaur,100.00224,12.956325,grass,poison,2
2,ivysaur,99.96094,12.947743,grass,poison,2
2,ivysaur,100.04688,12.924948,grass,poison,2
2,ivysaur,99.99302,13.031269,grass,poison,2
2,ivysaur,99.97872,12.919508,grass,poison,2
2,ivysaur,100.09754,13.098406,grass,poison,2
2,ivysaur,100.04298,12.982163,grass,poison,2
2,ivysaur,99.93438,12.915047,grass,poison,2
2,ivysaur,99.924095,12.940125,grass,poison,2
2,ivysaur,100.141884,12.921292,grass,poison,2
2,ivysaur,99.928734,12.925062,grass,poison,2
2,ivysaur,99.92804,12.949574,grass,poison,2
2,ivysaur,99.95171,12.941016,grass,poison,2
2,ivysaur,99.91483,12.91318,grass,poison,2
2,ivysaur,99.937515,12.907908,grass,poison,2
2,ivysaur,100.1794,12.913651,grass,poison,2
2,ivysaur,99.93863,12.96871,grass,poison,2
2,ivysaur,100.05846,12.932854,grass,poison,2
2,ivysaur,99.913246,13.017528,grass,poison,2
2,ivysaur,100.09479,13.306071,grass,poison,2
2,ivysaur,99.995094,12.976254,grass,poison,2
2,ivysaur,99.95942,12.944296,grass,poison,2
2,ivysaur,99.91286,13.080627,grass,poison,2
2,ivysaur,99.96212,12.99208,grass,poison,2
2,ivysaur,99.95709,12.975871,grass,poison,2
2,ivysaur,99.9717,13.2565155,grass,poison,2
2,ivysaur,99.924416,13.007883,grass,poison,2
2,ivysaur,99.913185,13.391226,grass,poison,2
2,ivysaur,100.06579,13.112953,grass,poison,2
2,ivysaur,99.940704,12.982807,grass,poison,2
3,venusaur,199.9522,99.93239,grass,poison,3
3,venusaur,199.9365,100.026184,grass,poison,3
3,venusaur,199.98662,99.98044,grass,poison,3
3,venusaur,200.06116,99.97794,grass,poison,3
3,venusaur,199.9373,99.936935,grass,poison,3
3,venusaur,199.96953,99.97697,grass,poison,3
3,venusaur,199.94882,99.93347,grass,poison,3
3,venusaur,200.27797,99.9382,grass,poison,3
3,venusaur,200.00188,100.01114,grass,poison,3
3,venusaur,199.95468,100.143105,grass,poison,3
3,venusaur,200.25215,99.98807,grass,poison,3
3,venusaur,200.08347,99.911255,grass,poison,3
3,venusaur,199.9553,100.00784,grass,poison,3
3,venusaur,199.96182,99.92725,grass,poison,3
3,venusaur,200.26877,99.92176,grass,poison,3
3,venusaur,199.93307,99.911095,grass,poison,3
3,venusaur,199.9911,99.96772,grass,poison,3
3,venusaur,199.91583,100.11321,grass,poison,3
3,venusaur,200.0669,99.98388,grass,poison,3
3,venusaur,200.23593,99.93387,grass,poison,3
3,venusaur,199.92184,99.92473,grass,poison,3
3,venusaur,199.94574,99.977005,grass,poison,3
3,venusaur,199.91083,100.15076,grass,poison,3
3,venusaur,199.93819,99.905655,grass,poison,3
3,venusaur,199.93939,100.21775,grass,poison,3
3,venusaur,200.10501,99.93647,grass,poison,3
3,venusaur,199.91396,99.97814,grass,poison,3
3,venusaur,199.90154,99.97872,grass,poison,3
3,venusaur,199.93364,99.9162,grass,poison,3
3,venusaur,199.9504,99.92577,grass,poison,3
3,venusaur,199.96416,99.95064,grass,poison,3
3,venusaur,200.4082,100.01548,grass,poison,3
3,venusaur,200.2376,99.94317,grass,poison,3
3,venusaur,199.9766,100.04627,grass,poison,3
3,venusaur,199.94246,100.02751,grass,poison,3
3,venusaur,199.96654,100.04507,grass,poison,3
3,venusaur,199.92508,100.0422,grass,poison,3
3,venusaur,200.0886,99.98587,grass,poison,3
3,venusaur,200.06969,99.93496,grass,poison,3
3,venusaur,200.20528,99.94201,grass,poison,3
3,venusaur,199.90176,100.013306,grass,poison,3
3,venusaur,199.9755,99.99538,grass,poison,3
3,venusaur,199.94408,100.05208,grass,poison,3
3,venusaur,199.91122,99.98808,grass,poison,3
3,venusaur,200.216,99.91111,grass,poison,3
3,venusaur,200.07634,100.147095,grass,poison,3
3,venusaur,199.96658,99.95807,grass,poison,3
3,venusaur,200.06558,100.00526,grass,poison,3
3,venusaur,199.92033,100.02648,grass,poison,3
3,venusaur,199.96158,100.11185,grass,poison,3
3,venusaur,199.96129,100.03679,grass,poison,3
3,venusaur,199.91019,100.02626,grass,poison,3
3,venusaur,199.90657,99.91863,grass,poison,3
3,venusaur,199.899,99.9161,grass,poison,3
3,venusaur,200.08708,99.905464,grass,poison,3
3,venusaur,200.00067,100.055725,grass,poison,3
3,venusaur,200.5333,100.13186,grass,poison,3
3,venusaur,199.98845,100.12717,grass,poison,3
3,venusaur,199.92596,99.91277,grass,poison,3
3,venusaur,199.92743,99.96314,grass,poison,3
3,venusaur,200.00299,99.9077,grass,poison,3
3,venusaur,199.918,99.914215,grass,poison,3
3,venusaur,200.0225,100.01793,grass,poison,3
3,venusaur,199.91843,99.909775,grass,poison,3
3,venusaur,199.98389,100.151924,grass,poison,3
3,venusaur,199.90662,100.00999,grass,poison,3
3,venusaur,199.90599,100.073784,grass,poison,3
3,venusaur,199.9176,100.03274,grass,poison,3
3,venusaur,199.93498,99.99175,grass,poison,3
3,venusaur,199.96944,99.946075,grass,poison,3
3,venusaur,199.9681,100.01699,grass,poison,3
3,venusaur,200.02141,99.95914,grass,poison,3
3,venusaur,200.00336,100.11907,grass,poison,3
3,venusaur,199.96292,100.07939,grass,poison,3
3,venusaur,199.98787,100.26297,grass,poison,3
3,venusaur,200.06375,99.9117,grass,poison,3
3,venusaur,199.92772,99.91621,grass,poison,3
3,venusaur,200.18033,99.95512,grass,poison,3
3,venusaur,199.91978,99.90775,grass,poison,3
3,venusaur,200.06468,99.94254,grass,poison,3
3,venusaur,199.91199,99.95381,grass,poison,3
3,venusaur,200.09816,99.95271,grass,poison,3
3,venusaur,200.03114,99.92569,grass,poison,3
3,venusaur,199.94774,100.29152,grass,poison,3
3,venusaur,199.93158,99.91406,grass,poison,3
3,venusaur,199.9327,100.1238,grass,poison,3
3,venusaur,200.26271,99.93438,grass,poison,3
3,venusaur,199.90979,100.01096,grass,poison,3
3,venusaur,199.94835,99.91481,grass,poison,3
3,venusaur,199.98755,99.948654,grass,poison,3
3,venusaur,199.90833,99.99167,grass,poison,3
3,venusaur,199.93884,99.90761,grass,poison,3
3,venusaur,199.98766,100.08509,grass,poison,3
3,venusaur,199.98845,99.928986,grass,poison,3
3,venusaur,200.04396,99.958015,grass,poison,3
3,venusaur,199.9474,100.01096,grass,poison,3
3,venusaur,199.89772,99.90389,grass,poison,3
3,venusaur,199.94324,99.916084,grass,poison,3
3,venusaur,199.95808,100.21311,grass,poison,3
3,venusaur,200.29875,99.994934,grass,poison,3
3,venusaur,199.90596,99.99253,grass,poison,3
3,venusaur,199.96141,99.96589,grass,poison,3
3,venusaur,199.96239,100.03697,grass,poison,3
3,venusaur,200.08061,100.02188,grass,poison,3
3,venusaur,200.06245,100.01869,grass,poison,3
3,venusaur,200.0017,100.015656,grass,poison,3
3,venusaur,199.98999,99.90613,grass,poison,3
3,venusaur,199.99548,99.90664,grass,poison,3
3,venusaur,200.28781,99.99485,grass,poison,3
3,venusaur,199.9041,99.945045,grass,poison,3
3,venusaur,199.94794,100.17938,grass,poison,3
3,venusaur,199.9289,99.97605,grass,poison,3
3,venusaur,199.90868,100.218796,grass,poison,3
3,venusaur,200.01062,100.27929,grass,poison,3
3,venusaur,200.02388,100.04164,grass,poison,3
3,venusaur,200.03108,100.12602,grass,poison,3
3,venusaur,199.91563,100.004616,grass,poison,3
3,venusaur,200.14401,100.04507,grass,poison,3
3,venusaur,200.09927,99.921486,grass,poison,3
3,venusaur,199.89778,99.91253,grass,poison,3
3,venusaur,199.99326,100.206795,grass,poison,3
3,venusaur,199.90118,100.02404,grass,poison,3
3,venusaur,199.97142,99.94799,grass,poison,3
3,venusaur,199.92905,99.939156,grass,poison,3
3,venusaur,199.91948,99.913536,grass,poison,3
3,venusaur,200.0452,99.96412,grass,poison,3
3,venusaur,199.97168,100.039764,grass,poison,3
3,venusaur,199.94153,100.00217,grass,poison,3
3,venusaur,199.92545,99.90395,grass,poison,3
3,venusaur,199.90604,99.98851,grass,poison,3
3,venusaur,199.91394,99.985535,grass,poison,3
3,venusaur,200.0714,99.919235,grass,poison,3
3,venusaur,200.03955,99.948654,grass,poison,3
3,venusaur,199.93594,99.91959,grass,poison,3
3,venusaur,199.906,99.95246,grass,poison,3
3,venusaur,199.91672,100.03837,grass,poison,3
3,venusaur,200.05238,99.973366,grass,poison,3
3,venusaur,199.94437,99.905304,grass,poison,3
3,venusaur,200.20406,100.10634,grass,poison,3
3,venusaur,199.94164,99.97654,grass,poison,3
3,venusaur,200.0,100.157524,grass,poison,3
3,venusaur,199.95396,100.00622,grass,poison,3
3,venusaur,200.10783,99.989334,grass,poison,3
3,venusaur,199.97533,99.91001,grass,poison,3
3,venusaur,199.99533,100.232544,grass,poison,3
3,venusaur,199.93796,99.93571,grass,poison,3
3,venusaur,200.00488,100.063675,grass,poison,3
3,venusaur,199.99384,100.09994,grass,poison,3
3,venusaur,199.99113,99.96025,grass,poison,3
3,venusaur,199.92441,100.0508,grass,poison,3
3,venusaur,200.15616,99.95222,grass,poison,3
4,charmander,59.88895,8.565529,fire,fire,1
4,charmander,60.214233,8.461743,fire,fire,1
4,charmander,59.920097,8.416394,fire,fire,1
4,charmander,60.034405,8.537019,fire,fire,1
4,charmander,59.962006,8.400306,fire,fire,1
4,charmander,59.89181,8.792484,fire,fire,1
4,charmander,60.016476,8.42665,fire,fire,1
4,charmander,59.890327,8.402478,fire,fire,1
4,charmander,59.895172,8.888634,fire,fire,1
4,charmander,60.029716,8.488689,fire,fire,1
4,charmander,59.938343,8.525515,fire,fire,1
4,charmander,59.914997,8.43121,fire,fire,1
4,charmander,59.897488,8.45946,fire,fire,1
4,charmander,59.914886,8.533363,fire,fire,1
4,charmander,59.977394,8.576465,fire,fire,1
4,charmander,59.973457,8.427973,fire,fire,1
4,charmander,59.98294,8.437901,fire,fire,1
4,charmander,59.912235,8.52378,fire,fire,1
4,charmander,60.04831,8.600586,fire,fire,1
4,charmander,59.976196,8.40779,fire,fire,1
4,charmander,60.021465,8.623614,fire,fire,1
4,charmander,59.96382,8.43973,fire,fire,1
4,charmander,59.930664,8.479713,fire,fire,1
4,charmander,60.129066,8.61868,fire,fire,1
4,charmander,59.985252,8.563293,fire,fire,1
4,charmander,59.88942,8.848222,fire,fire,1
4,charmander,59.97924,8.452257,fire,fire,1
4,charmander,60.162838,8.459622,fire,fire,1
4,charmander,59.905693,8.402363,fire,fire,1
4,charmander,59.968758,8.563796,fire,fire,1
4,charmander,60.289257,8.417275,fire,fire,1
4,charmander,60.085064,8.470045,fire,fire,1
4,charmander,59.93254,8.402222,fire,fire,1
4,charmander,59.89462,8.511194,fire,fire,1
4,charmander,59.919468,8.518273,fire,fire,1
4,charmander,59.910526,8.419849,fire,fire,1
4,charmander,60.00525,8.41346,fire,fire,1
4,charmander,59.962006,8.512722,fire,fire,1
4,charmander,59.95134,8.4884405,fire,fire,1
4,charmander,59.993717,8.449456,fire,fire,1
4,charmander,60.19419,8.439269,fire,fire,1
4,charmander,59.933258,8.517907,fire,fire,1
4,charmander,59.99966,8.417961,fire,fire,1
4,charmander,59.930065,8.555774,fire,fire,1
4,charmander,60.273537,8.513272,fire,fire,1
4,charmander,60.116447,8.464064,fire,fire,1
4,charmander,60.047047,8.423808,fire,fire,1
4,charmander,60.07611,8.472092,fire,fire,1
4,charmander,59.936962,8.409691,fire,fire,1
4,charmander,59.90977,8.455386,fire,fire,1
4,charmander,59.893887,8.426851,fire,fire,1
4,charmander,59.925823,8.439459,fire,fire,1
4,charmander,60.02758,8.431051,fire,fire,1
4,charmander,60.13368,8.522146,fire,fire,1
4,charmander,60.032154,8.682546,fire,fire,1
4,charmander,60.062813,8.40112,fire,fire,1
4,charmander,60.005447,8.420172,fire,fire,1
4,charmander,60.016872,8.55088,fire,fire,1
4,charmander,60.013325,8.569381,fire,fire,1
4,charmander,60.02567,8.6333065,fire,fire,1
4,charmander,59.942154,8.4328375,fire,fire,1
4,charmander,59.937534,8.458732,fire,fire,1
4,charmander,59.946095,8.516058,fire,fire,1
4,charmander,60.040413,8.651662,fire,fire,1
4,charmander,60.09941,8.521328,fire,fire,1
4,charmander,59.955547,8.440089,fire,fire,1
4,charmander,59.96829,8.466157,fire,fire,1
4,charmander,60.05358,8.584229,fire,fire,1
4,charmander,60.081955,8.577289,fire,fire,1
4,charmander,59.995724,8.441445,fire,fire,1
4,charmander,59.91556,8.410484,fire,fire,1
4,charmander,60.122856,8.464962,fire,fire,1
4,charmander,59.979713,8.477329,fire,fire,1
4,charmander,59.920143,8.532532,fire,fire,1
4,charmander,59.95675,8.40668,fire,fire,1
4,charmander,59.973362,8.432696,fire,fire,1
4,charmander,59.885353,8.532757,fire,fire,1
4,charmander,59.911655,8.409217,fire,fire,1
4,charmander,60.096886,8.496153,fire,fire,1
4,charmander,60.000042,8.4059515,fire,fire,1
4,charmander,60.125355,8.522945,fire,fire,1
4,charmander,59.9144,8.52597,fire,fire,1
4,charmander,59.91716,8.465305,fire,fire,1
4,charmander,60.14388,8.406266,fire,fire,1
4,charmander,59.903263,8.425262,fire,fire,1
4,charmander,60.540485,8.5911875,fire,fire,1
